"Abbrev","Full Title"
"J. Phys. Soc. Jpn.","Journal of the Physical Society of Japan"
"J. R. Soc. Interface","Journal of the Royal Society Interface"
"J. Vac. Sci. Technol.","Journal of Vacuum Science and Technology"
"Kolloid Z. Z. Polym.","Kolloid Zeitschrift & Zeitschrift für Polymere"
"K. Dan. Vidensk. Selsk. Mat. Fys. Medd.","Kongelige Danske Videnskabernes Selskab, Matematsik Fysiske Meddelelser"
"Kristallografiya","Kristallografiya"
"Kvant. Elektron. (Moscow)","Kvantovaya Elektronika (Moscow)"
"Laryngoscope","Laryngoscope"
"Lett. Nuovo Cimento","Lettere al Nuovo Cimento"
"Lick Obs. Bull.","Lick Observatory Bulletin"
"Mater. Res. Bull.","Materials Research Bulletin"
"Med. Phys.","Medical Physics"
"Mem. R. Astron. Soc.","Memoirs of the Royal Astronomical Society"
"Mol. Cryst. Liq. Cryst.","Molecular Crystals and Liquid Crystals"
"Mol. Phys.","Molecular Physics"
"Mon. Not. R. Astron. Soc.","Monthly Notices of the Royal Astronomical Society"
"Nat. l Bur. Stand. (U.S.). Circ.","National Bureau of Standards (U.S.), Circular"
"Nat. l Bur. Stand. (U.S.). Misc.","National Bureau of Standards (U.S.), Miscellaneous"
"Nat. l Bur. Stand. (U.S.). Spec. Publ.","Nationa l Bureau of Standards (U.S.), Special Publication"
"Nature (London)","Nature (London)"
"Naturwissenschaften","Naturwissenschaften"
"Notes Rec. R. Soc.","Notes and Records of the Royal Society"
"Nucl. Data, Sect. A","Nuclear Data, Section A"
"Nucl. Data, Sect. B","Nuclear Data, Section B"
"Nucl. Fusion","Nuclear Fusion"
"Nucl. Instrum.","Nuclear Instruments"
"Nucl. Instrum. Methods","Nuclear Instruments & Methods"
"Nucl. Phys.","Nuclear Physics"
"Nucl. Phys.","Nuclear Physics A"
"Nucl. Phys.","Nuclear Physics B"
"Nucl. Sci. Eng.","Nuclear Science and Engineering"
"Nukleonik","Nukleonik"
"Nuovo Cimento","Nuovo Cimento"
"Nuovo Cimento","Nuovo Cimento A"
"Nuovo Cimento","Nuovo Cimento B"
"Opt. Acta.","Optica Acta"
"Opt. Spectrosc. (USSR)","Optics and Spectroscopy (USSR)(translation of Optika i Spektroskopiya)"
"Opt. Commun.","Optics Communications"
"Opt. Lett.","Optics Letters"
"Opt. News","Optics News"
"Optik (Stuttgart)","Optik (Stuttgart)"
"Opt. Spectrosk.","Optika i Spectroskopiya"
"Opt. -Mekh. Prom.","Optiko-Mekhanicheskaya Promyshlennost"
"Percept. Psychophys.","Perception and Psychophysics"
"Philips Res. Rep.","Philips Research Reports"
"Philos. Mag.","Philosophical Magazine"
"Phil. Trans. R. Soc. London","Philosophical Transactions of the Royal Society of London"
"Phil. Trans. R. Soc. A","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences"
"Phil. Trans. R. Soc. B","Philosophical Transactions of the Royal Society B: Biological Sciences"
"Phys. Rev.","Physical Review"
"Phys. Rev. A","Physical Review A: Atomic, Molecular, and Optical Physics"
"Phys. Rev. B","Physical Review B: Solid State"
"Phys. Rev. C","Physical Review C: Nuclear Physics"
"Phys. Rev. D","Physical Review D: Particles and Fields"
"Phys. Rev. E","Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics"
"Phys. Rev. Lett.","Physical Review Letters"
"Phys. Rev. S. T. Accel. Beams","Physical Review Special Topics - Accelerators and Beams"
"Phys. Status Solidi","Physica Status Solidi"
"Phys. Status Solidi A","Physica Status Solidi A: Applied Research"
"Phys. Status Solidi B","Physica Status Solidi B: Basic Research"
"Physica (Utrecht)","Physica (Utrecht)"
"Phys. Chem. Solids","Physics and Chemistry of Solids"
"Phys. Lett.","Physics Letters"
"Phys. Lett.","Physics Letters A"
"Phys. Lett.","Physics Letters B"
"Physics (N. Y.)","Physics (New York)"
"Phys. Fluids","Physics of Fluids"
"Phys. Met. Mettalogr. (USSR)","Physics of Metals and Mettalography (USSR)(translation of Fizika Metallov i Metallovedenie)"
"Phys. Teach.","Physics Teacher"
"Phys. Today","Physics Today"
"Phys. Z.","Physikalische Zeitschrift"
"Phys. Z. Sowjetunion","Physikalische Zeitschrift der Sowjetunion"
"Phys. Kondens. Mater.","Physik der Kondensierten Materie"
"Pis'ma Astron. Zh.","Pis'ma v Astronomicheskii Zhurnal"
"Pis'ma Zh. Eksp. Teor. Fiz.","Pis'ma v Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki"
"Pis'ma Zh. Tekh. Fiz.","Pis'ma v Zhurnal Tekhnicheskoi Fiziki"
"Planet. Space Sci.","Planetary and Space Science"
"Plasma Phys.","Plasma Physics"
"Prib. Tekh. Eksp.","Pribory i Tekhnika Eksperimenta"
"Proc. Cambridge Philos. Soc.","Proceedings of the Cambridge Philosophical Society"
"Proc. IEEE","Proceedings of the IEEE"
"Proc. IRE","Proceedings of the IRE"
"Proc. Nat. l Acad. Sci. U. S. A.","Proceedings of the Nationa l Academy of Sciences of the United States of America"
"Proc. Phys. Soc. London","Proceedings of the Physical Society, London"
"Proc. Phys. Soc. London, Sect. A","Proceedings of the Physical Society, London, Section A"
"Proc. Phys. Soc. London, Sect. B","Proceedings of the Physical Society, London, Section B"
"Proc. R. Soc. London","Proceedings of the Royal Society of London"
"Proc. R. Soc. A","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences"
"Proc. R. Soc. B","Proceedings of the Royal Society B: Biological Sciences"
"Prog. Theor. Phys.","Progress of Theoretical Physics"
"Publ. Astron. Soc. Pac.","Publications of the Astronomical Society of the Pacific"
"Radiat. Eff.","Radiation Effects"
"Radio Eng. Electron. Phys. (USSR)","Radio Engineering and Electronic Physics (USSR)(translation of Radiotekhnika i Elektronika)"
"Radio Eng. Electron. (USSR) (translation)","Radio Engineering and Electronics (USSR)(translation of Radiotekhnika i Elektronika)"
"Radiology","Radiology"
"Radio Sci.","Radio Science"
"Radiotekh. Elektron.","Radiotekhnika i Elektronika"
"Radiotekh. Elektron.","Radiotekhnika i Elektronika"
"RCA Rev.","RCA Review"
"Rep. Prog. Phys.","Reports on Progress in Physics"
"Rev. Sci. Instrum.","Review of Scientific Instruments"
"Rev. Mod. Phys.","Review of Modern Physics"
"Rev. Opt. Theor. Instrum.","Revue d' Optique, Theorique et Instrumentale"
"Russ. J. Phys. Chem.","Russian Journal of Physical Chemistry (translation of Zhurnal Fizicheskoi Khimii)"
"Science","Science"
"Sci. Am.","Scientific American"
"Sol. Phys.","Solar Physics"
"Solid State Commun.","Solid State Communications"
"Solid-State Electron.","Solid-State Electronics"
"Sov. Astron.","Soviet Astronomy (translation of Astronomicheskii Zhurnal)"
"Sov. Astron. Lett.","Soviet Astronomy Letters (translation of Pis'ma v Astronomicheskii Zhurnal)"
"Sov. J. At. Energy","Soviet Journal of Atomic Energy (translation of Atominaya Energiya)"
"Sov. J. Low Temp. Phys.","Soviet Journal of Low Temperature Physics (translation of Fizika Nizkikh Temperatur)"
"Sov. J. Nucl. Phys.","Soviet Journal of Nuclear Physics (translation of Yadernaya Fizika)"
"Sov. J. Opt. Technol.","Soviet Journal of Optical Technology (translation of Optiko-Mekhanischeskaya Promyshlennost)"
"Sov. J. Part. Nucl.","Soviet Journal of Particles and Nuclei (translation of Fizika Elementarnykh Chastits i Atomnogo Yadra)"
"Sov. J. Plasma Phys.","Soviet Journal of Plasma Physics (translation of Fizika Plazmy)"
"Sov. J. Quantum Electron.","Soviet Journal of Quantum Electronics"
"Sov. Phys. Acoust.","Soviet Physics--- Acoustics (translation of Akusticheskii Zhurnal)"
"Sov. Phys. Crystallogr.","Soviet Physics--- Crystallography (translation of Kristallografiya)"
"Sov. Phys. Dokl.","Soviet Physics--- Doklady (translation of Doklady Akademii Nauk SSSR)"
"Sov. Phys. JETP","Soviet Physics--- JETP (translation of Zhurnal Eksperimental'noi i Teoretischeskoi Fiziki)"
"Sov. Phys. J.","Soviet Physics Journal (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika)"
"Sov. Phys. Semicond.","Soviet Physics--- Semiconductors (translation of Fizika i Tekhnika Poluprovodnikov)"
"Sov. Phys. Solid State","Soviet Physics--- Solid State"
"Sov. Phys. Tech. Phys.","Soviet Physics--- Technical Physics (translation of Zhurnal Tekhnicheskoi Fiziki)"
"Sov. Phys. Usp.","Soviet Physics--- Uspekhi (translation of Uspekhi Fizicheskikh Nauk)"
"Sov. Radiophys.","Soviet Radiophysics (translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)"
"Sov. Tech. Phys. Lett.","Soviet Technical Physics Letters (translation of Pis'ma v Zhurnal Tekhnicheskoi Fiziki)"
"Spectrochim. Acta","Spectrochimica Acta"
"Spectrochim. Acta, Part A","Spectrochimica Acta, Part A: Molecular Spectroscopy"
"Spectrochim. Acta, Part B","Spectrochimica Acta, Part B: Atomic Spectroscopy"
"Surf. Sci.","Surface Science"
"Teplofiz. Vys. Temp.","Teplofizika Vysokikh Temperatur"
"Tetrahedron","Tetrahedron"
"Eur. Phys. J. A","The European Physical Journal A"
"Eur. Phys. J. B","The European Physical Journal B"
"Eur. Phys. J. C","The European Physical Journal C"
"Eur. Phys. J. D","The European Physical Journal D"
"Eur. Phys. J. E","The European Physical Journal E"
"Eur. Phys. J. Spec. Top.","The European Physical Journal Special Topics"
"Eur. Phys. J. Appl. Phys.","The European Physical Journal Applied Physics"
"Theor. Chim. Acta","Theoretica Chimica Acta"
"Thin Solid Films","Thin Solid Films"
"Trans. Am. Crystallogr. Assoc.","Transactions of the American Crystallographic Association"
"Trans. Am. Geophys. Union","Transactions of the American Geophysical Union"
"Trans. Am. Inst. Min. Metall. Pet. Eng.","Transactions of the American Institute of Mining, Metallurgical and Petroleum Engineers"
"Trans. Am. Nucl. Soc.","Transactions of the American Nuclear Society"
"Trans. Am. Soc. Met.","Transactions of the American Society for Metals"
"Trans. Am. Soc. Mech. Eng.","Transactions of the American Society of Mechanical Engineers"
"Trans. Br. Ceram. Soc.","Transactions of the British Ceramic Society"
"Trans. Faraday Soc.","Transactions of the Faraday Society"
"Trans. Metall. Soc. AIME","Transactions of the Metallurgical Society of AIME"
"Trans. Soc. Rheol.","Transactions of the Society of Rheology"
"Ukr. Phys. J.","Ukrainian Physics Journal"
"Ukr. Fiz. Zh. (Russ. Ed.)","Ukrainskii Fizicheskii Zhurnal (Russian Edition)"
"Ultrasonics","Ultrasonics"
"Usp. Fiz. Nauk","Uspekhi Fizicheskikh Nauk"
"Wuli Xuebao (Acta Phys. Sin.) .","Wuli Xuebao (Acta Physica Sinica)"
"Yad. Fiz. .","Yadernaya Fizika"
"Z. Anal. Chem.","Zeitschrift für Analytische Chemie"
"Z. Angew. Phys.","Zeitschrift für Angewandte Physik"
"Z. Anorg. Allg. Chem.","Zeitschrift für Anorganische und Allgemeine Chemie"
"Z. Astrophys.","Zeitschrift für Astrophysik"
"Z. Elektrochem.","Zeitschrift für Elektrochemie"
"Z. Kristallogr. Kristallgeom. Kristallphys. Kristallchem.","Zeitschrift für Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie"
"Z. Metallk. d.","Zeitschrift für Metallkun de"
"Z. Naturforsch.","Zeitschrift für Naturforschung"
"Z. Naturforsch. Teil A","Zeitschrift für Naturforschung, Teil A: Physik, Physikalische Chemie, Kosmophysik"
"Z. Phys.","Zeitschrift für Physik"
"Z. Phys. A","Zeitschrift für Physik A: Atoms and Nuclei"
"Z. Phys. B","Zeitschrift für Physik B: Condensed Matter and Quanta"
"Z. Phys. C","Zeitschrift für Physik C: Particles and Fields"
"Z. Phys. Chem. Materialforsch.","Zeitschrift für Physikalisch- Chemische Materialforschung"
"Z. Phys. Chem. Abt. A","Zeitschrift für Physikalische Chemie, Abteilung A: Chemische Thermodynamik, Kinetik, Elektrochemie, Eigenschaftslehre"
"Z. Phys. Chem. Abt. B","Zeitschrift für Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie"
"Z. Phys. Chem. (Frankfurt am Main)","Zeitschrift für Physikalische Chemie (Frankfurt am Main)"
"Z. Phys. Chem. (Leipzig)","Zeitschrift für Physikalische Chemie (Leipzig)"
"Zh. Eksp. Teor. Fiz.","Zhurnal Eksperimental'noi i Teoreticheskoi Fiziki"
"Zh. Fiz. Khim.","Zhurnal Fizicheskoi Khimii"
"Zh. Prikl. Spektrosk.","Zhurnal Prikladnoi Spektroskopii"
"Zh. Tekh. Fiz.","Zhurnal Tekhnicheskoi Fiziki"
